id,city,name_bn,name_en,area_bn,area_en,zone,lat,lng,type,heritage,theme,grand,quiet,food,family,crowd,since,theme_2026_bn,theme_2026_en,note_bn,note_en,verified
kashi-bose-lane,kolkata,কাশী বোস লেন,Kashi Bose Lane,বিডন স্ট্রিট,Beadon Street,north,22.5875,88.3695,theme,0.4,0.8,0.5,0.5,0.4,0.6,3,,,,উত্তর কলকাতার থিম পুজো।,North Kolkata theme puja.,no
chhatubabu-latubabu,kolkata,ছাতুবাবু-লাটুবাবুর বাড়ি,Chhatubabu Latubabu Bari,বিডন স্ট্রিট,Beadon Street,north,22.5882,88.3648,bonedi,1,0,0.2,0.9,0.1,0.7,2,,,,বনেদি বাড়ির ঠাকুরদালানের পুজো।,Bonedi bari puja in a family courtyard.,no
chorebagan,kolkata,চোরবাগান সার্বজনীন,Chorebagan Sarbojanin,গিরিশ পার্ক,Girish Park,central,22.5840,88.3602,theme,0.5,0.8,0.5,0.6,0.3,0.6,3,,,,গিরিশ পার্কের কাছে থিম পুজো।,Theme puja near Girish Park.,no
md-ali-park,kolkata,মহম্মদ আলি পার্ক,Md. Ali Park,চিৎপুর রোড,Chitpur Road,central,22.5773,88.3587,theme,0.3,0.8,0.9,0.2,0.6,0.5,4,,,,মধ্য কলকাতার বড় মণ্ডপ; রাতে খুব ভিড়।,Big central Kolkata pandal; very crowded at night.,no
college-square,kolkata,কলেজ স্কোয়ার সার্বজনীন,College Square Sarbojanin,কলেজ স্ট্রিট,College Street,central,22.5745,88.3637,sabeki,0.6,0.4,0.9,0.3,0.7,0.8,4,,,,সরোবরের জলে আলোর প্রতিফলন; কাছেই কফি হাউস।,Lights reflected on the pond; Coffee House next door.,no
santosh-mitra-square,kolkata,সন্তোষ মিত্র স্কোয়ার,Santosh Mitra Square,বউবাজার,Bowbazar,central,22.5683,88.3665,theme,0.3,0.8,1,0.1,0.6,0.4,4,,,,বিশাল মাপের মণ্ডপ ও আলোকসজ্জা।,Very large pandal and light show.,no
sealdah-rac,kolkata,শিয়ালদহ রেলওয়ে অ্যাথলেটিক ক্লাব,Sealdah Railway Athletic Club,শিয়ালদহ,Sealdah,central,22.5665,88.3715,theme,0.3,0.8,0.7,0.3,0.4,0.5,3,,,,শিয়ালদহ স্টেশনের কাছে থিম পুজো।,Theme puja by Sealdah station.,no
rani-rashmoni-bari,kolkata,রানি রাসমণির বাড়ি,Rani Rashmoni Bari,জানবাজার,Janbazar,central,22.5590,88.3560,bonedi,1,0,0.3,0.8,0.2,0.7,2,,,,জানবাজারের ঐতিহাসিক বনেদি বাড়ির পুজো।,Historic bonedi bari puja in Janbazar.,no
sreebhumi,kolkata,শ্রীভূমি স্পোর্টিং ক্লাব,Sreebhumi Sporting Club,লেক টাউন,Lake Town,east,22.6005,88.4040,theme,0.2,0.7,1,0,0.9,0.4,4,,,,শহরের সবচেয়ে ভিড়ের মণ্ডপগুলির একটি; ভোরে যান।,One of the most crowded pandals in the city; go at dawn.,no
lake-town-adhibasibrinda,kolkata,লেক টাউন অধিবাসীবৃন্দ,Lake Town Adhibasibrinda,লেক টাউন,Lake Town,east,22.6040,88.4015,theme,0.3,0.7,0.7,0.3,0.5,0.6,3,,,,শ্রীভূমির কাছেই থিম পুজো।,Theme puja close to Sreebhumi.,no
dum-dum-park-tarun-sangha,kolkata,দমদম পার্ক তরুণ সংঘ,Dum Dum Park Tarun Sangha,দমদম পার্ক,Dum Dum Park,east,22.6075,88.4140,theme,0.3,0.9,0.6,0.4,0.4,0.6,3,,,,দমদম পার্কের থিম পুজো; আশেপাশে আরও কয়েকটি মণ্ডপ।,Theme puja with several more pandals nearby.,no
fd-block,kolkata,এফডি ব্লক সল্টলেক,FD Block Salt Lake,সল্টলেক,Salt Lake,east,22.5900,88.4125,theme,0.2,0.7,0.8,0.3,0.6,0.8,3,,,,চওড়া রাস্তা; পরিবার নিয়ে যাওয়ার জন্য সুবিধাজনক।,Wide roads; easy with family.,no
bj-block,kolkata,বিজে ব্লক সল্টলেক,BJ Block Salt Lake,সল্টলেক,Salt Lake,east,22.5820,88.4185,theme,0.2,0.8,0.7,0.4,0.5,0.8,3,,,,সল্টলেকের থিম পুজো।,Salt Lake theme puja.,no
ekdalia-evergreen,kolkata,একডালিয়া এভারগ্রীন,Ekdalia Evergreen Club,গড়িয়াহাট,Gariahat,south,22.5188,88.3667,sabeki,0.7,0.4,0.9,0.2,0.7,0.6,4,,,,গড়িয়াহাটের বিখ্যাত পুজো; রাতে প্রচণ্ড ভিড়।,Famous Gariahat puja; very crowded at night.,no
singhi-park,kolkata,সিংহী পার্ক,Singhi Park,গড়িয়াহাট,Gariahat,south,22.5170,88.3645,sabeki,0.6,0.5,0.8,0.3,0.6,0.6,4,,,,একডালিয়ার পাশেই; একসঙ্গে দেখে নিন।,Right next to Ekdalia; see both together.,no
hindusthan-park,kolkata,হিন্দুস্থান পার্ক সার্বজনীন,Hindusthan Park Sarbojanin,গড়িয়াহাট,Gariahat,south,22.5160,88.3602,theme,0.4,0.8,0.6,0.5,0.4,0.6,3,,,,শিল্পভাবনার থিম পুজো।,Art-led theme puja.,no
deshapriya-park,kolkata,দেশপ্রিয় পার্ক,Deshapriya Park,রাসবিহারী,Rashbehari,south,22.5153,88.3530,theme,0.4,0.6,0.8,0.3,0.7,0.6,4,,,,দক্ষিণ কলকাতার বড় পুজো।,Big South Kolkata puja.,no
tridhara,kolkata,ত্রিধারা সম্মিলনী,Tridhara Sammilani,রাসবিহারী,Rashbehari,south,22.5205,88.3490,theme,0.3,0.8,0.8,0.3,0.6,0.6,4,,,,আলো ও থিমের জন্য পরিচিত।,Known for lighting and themes.,no
66-pally,kolkata,৬৬ পল্লী,66 Pally,কালীঘাট,Kalighat,south,22.5200,88.3548,theme,0.4,0.8,0.6,0.4,0.5,0.6,3,,,,কালীঘাটের কাছে থিম পুজো।,Theme puja near Kalighat.,no
samaj-sebi-sangha,kolkata,সমাজসেবী সংঘ,Samaj Sebi Sangha,লেক ভিউ রোড,Lake View Road,south,22.5190,88.3578,theme,0.4,0.8,0.6,0.4,0.4,0.6,3,,,,লেক ভিউ রোডের থিম পুজো।,Theme puja on Lake View Road.,no
maddox-square,kolkata,ম্যাডক্স স্কোয়ার,Maddox Square,বালিগঞ্জ,Ballygunge,south,22.5270,88.3570,sabeki,0.7,0.2,0.5,0.5,0.9,0.9,3,,,,সাবেকি প্রতিমা আর মাঠে বসে আড্ডা।,Traditional idol and the city's favourite open-air adda.,no
mudiali,kolkata,মুদিয়ালি ক্লাব,Mudiali Club,লেক মার্কেট,Lake Market,south,22.5105,88.3500,theme,0.4,0.7,0.6,0.4,0.4,0.6,3,,,,দক্ষিণ কলকাতার থিম পুজো।,South Kolkata theme puja.,no
shib-mandir,kolkata,শিব মন্দির সার্বজনীন,Shib Mandir Sarbojanin,লেক মার্কেট,Lake Market,south,22.5135,88.3520,theme,0.4,0.7,0.5,0.5,0.4,0.6,3,,,,লেক মার্কেটের কাছে থিম পুজো।,Theme puja near Lake Market.,no
badamtala-ashar-sangha,kolkata,বাদামতলা আষাঢ় সংঘ,Badamtala Ashar Sangha,কালীঘাট,Kalighat,south,22.5085,88.3445,theme,0.3,0.9,0.8,0.3,0.5,0.5,4,,,,জনপ্রিয় থিম পুজো; সন্ধ্যায় লম্বা লাইন।,Popular theme puja; long evening queues.,no
chetla-agrani,kolkata,চেতলা অগ্রণী,Chetla Agrani,চেতলা,Chetla,south,22.5145,88.3355,theme,0.3,0.8,0.8,0.3,0.5,0.5,4,,,,চেতলার বড় থিম পুজো।,Big theme puja in Chetla.,no
suruchi-sangha,kolkata,সুরুচি সংঘ,Suruchi Sangha,নিউ আলিপুর,New Alipore,south,22.5055,88.3305,theme,0.3,0.9,0.9,0.2,0.8,0.5,4,,,,বড় মাপের থিম পুজো ও খাবারের স্টল।,Large theme puja with food stalls.,no
naktala-udayan-sangha,kolkata,নাকতলা উদয়ন সংঘ,Naktala Udayan Sangha,নাকতলা,Naktala,south,22.4745,88.3690,theme,0.3,0.9,0.8,0.3,0.5,0.5,4,,,,দক্ষিণ প্রান্তের জনপ্রিয় থিম পুজো।,Popular theme puja in the far south.,no
bosepukur-sitala-mandir,kolkata,বোসপুকুর শীতলা মন্দির,Bosepukur Sitala Mandir,কসবা,Kasba,south,22.5145,88.3895,theme,0.3,0.9,0.6,0.4,0.4,0.6,3,,,,কসবার থিম পুজো।,Theme puja in Kasba.,no
rajdanga-naba-uday,kolkata,রাজডাঙা নব উদয় সংঘ,Rajdanga Naba Uday Sangha,কসবা,Kasba,south,22.5120,88.3935,theme,0.3,0.8,0.6,0.4,0.4,0.6,3,,,,কসবার থিম পুজো।,Theme puja in Kasba.,no
jodhpur-park-95-pally,kolkata,যোধপুর পার্ক ৯৫ পল্লী,Jodhpur Park 95 Pally,যোধপুর পার্ক,Jodhpur Park,south,22.5045,88.3665,theme,0.3,0.8,0.6,0.4,0.5,0.7,3,,,,যোধপুর পার্কের থিম পুজো।,Theme puja in Jodhpur Park.,no
babubagan,kolkata,বাবুবাগান সার্বজনীন,Babubagan Sarbojanin,ঢাকুরিয়া,Dhakuria,south,22.5080,88.3700,theme,0.3,0.8,0.6,0.4,0.4,0.6,3,,,,ঢাকুরিয়ার থিম পুজো।,Theme puja in Dhakuria.,no
behala-notun-dal,kolkata,বেহালা নতুন দল,Behala Notun Dal,বেহালা,Behala,west,22.4995,88.3150,theme,0.3,0.8,0.6,0.4,0.5,0.6,3,,,,বেহালার থিম পুজো।,Theme puja in Behala.,no
barisha-club,kolkata,বড়িশা ক্লাব,Barisha Club,বেহালা,Behala,west,22.4880,88.3135,theme,0.3,0.8,0.6,0.4,0.5,0.6,3,,,,বেহালার থিম পুজো।,Theme puja in Behala.,no
belur-math,kolkata,বেলুড় মঠ,Belur Math,বেলুড় (হাওড়া),Belur (Howrah),west,22.6324,88.3563,heritage,1,0,0.6,0.6,0.3,0.9,4,,,,অষ্টমীর কুমারী পুজোর জন্য বিখ্যাত; গঙ্গার ওপারে।,Famous for Ashtami Kumari Puja; across the river.,no
bengalee-association-ulsoor,bengaluru,দ্য বেঙ্গলি অ্যাসোসিয়েশন (উলসুর),The Bengalee Association (Ulsoor),উলসুর,Ulsoor,central,12.9790,77.6150,heritage,0.9,0.2,0.6,0.4,0.9,0.8,3,1956,,,বেঙ্গালুরুর অন্যতম প্রাচীন পুজো; বড় ফুড কোর্ট।,One of Bengaluru's oldest pujas; big food court.,no
sarathi-koramangala,bengaluru,সারথি (কোরমঙ্গলা),Sarathi Socio-Cultural Trust (Koramangala),কোরমঙ্গলা ৭ম ব্লক,Koramangala 7th Block,south,12.9365,77.6135,sabeki,0.5,0.4,0.8,0.2,0.8,0.7,4,,,,শহরের সবচেয়ে জনপ্রিয় পুজোগুলির একটি; দর্শনে লাইন।,Among the city's most popular pujas; expect a darshan queue.,no
sca-indiranagar,bengaluru,সোশিও কালচারাল অ্যাসোসিয়েশন (ইন্দিরানগর),Socio Cultural Association (Indiranagar),নিউ তিপ্পাসান্দ্রা,New Tippasandra,east,12.9735,77.6560,heritage,0.7,0.3,0.6,0.4,0.7,0.8,3,,,,৫০ বছরেরও বেশি পুরনো পুজো; সাংস্কৃতিক অনুষ্ঠান।,Running for 50+ years; cultural programmes.,no
barsha-hsr,bengaluru,বর্ষা (এইচএসআর লেআউট),BARSHA (HSR Layout),এইচএসআর লেআউট,HSR Layout,south,12.9115,77.6395,sabeki,0.4,0.5,0.8,0.2,0.9,0.7,4,,,,বড় মাঠে পুজো; অনেক খাবার ও হস্তশিল্পের স্টল।,Big ground puja with many food and craft stalls.,no
sorrba-sarjapur,bengaluru,সর্বা (সর্জাপুর আউটার রিং রোড),SORRBA (Sarjapur ORR),সর্জাপুর রোড,Sarjapur Road,east,12.9230,77.6800,sabeki,0.4,0.4,0.6,0.4,0.7,0.8,3,,,,আইটি করিডরের কাছে পুজো।,Puja near the ORR tech corridor.,no
karba-amader-pujo,bengaluru,আমাদের পুজো (কারবা),Amader Pujo — KARBA,কনকপুরা রোড,Kanakapura Road,south,12.8880,77.5620,sabeki,0.4,0.4,0.9,0.2,0.8,0.7,4,,,,দক্ষিণ বেঙ্গালুরুর সবচেয়ে বড় পুজোগুলির একটি।,One of the largest pujas in South Bengaluru.,no
sanskritik-jp-nagar,bengaluru,সংস্কৃতিক (জেপি নগর),Sanskritik Bengali Association (JP Nagar),জেপি নগর ৬ষ্ঠ ফেজ,JP Nagar 6th Phase,south,12.8950,77.5880,sabeki,0.5,0.3,0.6,0.4,0.7,0.8,3,,,,পুজো আর সাংস্কৃতিক অনুষ্ঠান।,Puja plus cultural evenings.,no
kaggadasapura,bengaluru,কাগ্গদাসপুরা বেঙ্গলি অ্যাসোসিয়েশন,Kaggadasapura Bengali Association,কাগ্গদাসপুরা,Kaggadasapura,east,12.9855,77.6790,sabeki,0.6,0.2,0.4,0.7,0.6,0.8,2,,,,পাড়ার ঘরোয়া পুজো; ভোগ ও অনুষ্ঠান।,Homely neighbourhood puja with bhog.,no
whitefield-inner-circle,bengaluru,হোয়াইটফিল্ড পুজো (ইনার সার্কেল গ্রাউন্ড),Whitefield Puja (Inner Circle Ground),হোয়াইটফিল্ড,Whitefield,east,12.9800,77.7280,sabeki,0.4,0.3,0.6,0.4,0.7,0.8,3,,,,পূর্ব বেঙ্গালুরুর পুজো।,East Bengaluru puja.,no
eisha-hsr,bengaluru,ঈশা পুজো (এইচএসআর),Eisha Puja (HSR Layout),এইচএসআর লেআউট,HSR Layout,south,12.9105,77.6460,sabeki,0.4,0.3,0.5,0.6,0.6,0.8,2,,,,এইচএসআর-এর ছোট পুজো।,Smaller HSR puja.,no
